Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
29,Estonia,0.892,78.8,16.0,13.1,36019,9,30,0.67,0.871,2.3,0.862,14.8,0.758,1.017,27086,9,7.7,29.7,57.1,1.3,69.1,0.1,0.8,0.3,42.4,1,,
29,Italy,0.892,83.5,16.1,10.4,42776,0,29,0.48,0.947,10.6,0.709,21.8,0.716,0.968,31639,2,5.2,35.3,40.8,60.6,70.7,2.4,38.6,13.9,47.3,1,,
31,United Arab Emirates,0.890,78.0,14.3,12.1,67462,-24,30,0.72,0.845,18.2,0.656,..,..,0.931,28578,3,6.5,50.0,52.4,9.8,86.8,0.5,8.2,0.1,32.6,1,,
32,Greece,0.888,82.2,17.9,10.6,30155,14,33,0.53,0.924,11.1,0.755,17.8,0.709,0.963,24062,3,7.2,20.7,44.2,10.5,79.4,0.4,6.7,2.3,45.6,1,,
33,Cyprus,0.887,81.0,15.2,12.2,38207,2,32,0.65,0.904,10.5,0.740,13.2,0.779,0.979,31881,6,4.6,17.9,57.8,1.2,66.8,0.1,0.8,0.2,37.3,1,,
34,Lithuania,0.882,75.9,16.6,13.1,35799,5,35,0.62,0.813,3.9,0.863,20.6,0.706,1.030,30987,8,10.9,21.3,56.5,2.8,67.9,0.1,1.8,0.6,45.1,1,,
35,Poland,0.880,78.7,16.3,12.5,31623,8,34,0.70,0.865,4.9,0.826,13.5,0.752,1.007,24827,2,10.5,27.9,48.6,37.9,60.0,1.9,25.3,6.9,41.7,1,,
36,Andorra,0.868,81.9,13.3,10.5,56000,-20,36,..,..,10.0,0.648,..,..,..,..,..,..,46.4,..,0.1,88.0,..,..,..,..,1,,
37,Latvia,0.866,75.3,16.2,13.0,30282,8,37,0.68,0.805,2.5,0.861,19.6,0.694,1.036,25758,19,16.2,30.0,55.7,1.9,68.2,0.1,1.2,0.4,43.9,1,,
38,Portugal,0.864,82.1,16.5,9.3,33967,2,38,0.64,0.921,15.0,0.653,16.9,0.731,0.988,28937,8,8.4,38.7,54.2,10.2,65.8,0.4,6.6,2.3,46.2,1,,
39,Slovakia,0.860,77.5,14.5,12.7,32113,3,39,0.51,0.841,1.6,0.813,11.7,0.770,0.992,24618,5,25.7,20.0,52.2,5.5,53.7,0.3,3.7,0.9,41.2,1,,
40,Hungary,0.854,76.9,15.2,12.0,31329,4,42,0.65,0.838,3.1,0.796,14.5,0.743,0.981,23170,12,24.0,12.6,48.5,9.7,71.6,0.5,6.4,1.9,43.3,1,,
40,Saudi Arabia,0.854,75.1,16.1,10.2,47495,-16,40,0.70,0.794,18.0,0.647,..,..,0.896,16512,17,7.3,19.9,22.1,34.3,84.1,3.0,24.6,1.2,31.8,1,,
42,Bahrain,0.852,77.3,16.3,9.5,42522,-12,41,0.45,0.833,22.7,0.594,..,..,0.922,19059,14,13.4,18.8,45.0,1.6,89.4,0.1,1.3,0.0,32.5,1,,
43,Chile,0.851,80.2,16.4,10.6,23261,16,43,0.65,0.868,10.4,0.726,31.1,0.567,0.963,16398,13,41.1,22.7,51.8,19.0,87.6,1.2,13.0,2.3,35.3,1,,
43,Croatia,0.851,78.5,15.2,11.4,28070,6,44,0.79,0.861,4.7,0.767,14.7,0.727,0.990,23775,8,8.7,20.5,45.4,4.1,57.2,0.2,2.7,0.9,44.3,1,,
45,Qatar,0.848,80.2,12.0,9.7,92418,-43,45,0.42,0.874,11.8,0.581,..,..,1.030,45338,9,9.9,9.8,56.8,2.8,99.2,0.1,2.4,0.0,32.3,1,,
46,Argentina,0.845,76.7,17.7,10.9,21190,16,46,0.56,0.797,6.0,0.804,25.2,0.606,0.993,14872,39,62.8,39.9,50.7,44.8,92.0,3.7,28.7,5.0,31.5,1,,
47,Brunei Darussalam,0.838,75.9,14.3,9.1,63965,-38,47,0.31,0.794,..,..,..,..,0.981,54386,31,10.3,9.1,57.8,0.4,77.9,0.0,0.3,0.0,32.3,1,,
48,Montenegro,0.829,76.9,15.0,11.6,21399,13,48,..,0.844,7.8,0.740,16.9,0.673,0.966,17518,6,9.3,28.4,46.5,0.6,67.2,0.0,0.4,0.1,38.8,1,,
49,Romania,0.828,76.1,14.3,11.1,29497,-1,49,0.54,0.808,5.3,0.724,22.7,0.664,0.991,24433,19,36.2,19.6,45.3,19.4,54.1,0.9,12.7,3.6,43.2,1,,
50,Palau,0.826,73.9,15.8,12.5,19317,15,52,..,..,1.9,0.839,..,..,..,..,..,..,13.8,..,0.0,80.5,..,..,..,..,1,,
51,Kazakhstan,0.825,73.6,15.6,11.9,22857,9,53,0.62,0.761,3.2,0.804,10.3,0.736,0.980,16791,10,29.8,22.1,62.7,18.6,57.5,1.9,11.8,1.4,30.7,1,,
52,Russian Federation,0.824,72.6,15.0,12.2,26157,2,49,0.39,0.751,4.2,0.789,18.8,0.683,1.007,19694,17,20.7,16.5,54.8,145.9,74.6,9.4,97.4,22.0,39.6,1,,
53,Belarus,0.823,74.8,15.4,12.3,18546,14,49,..,0.806,3.7,0.807,10.8,0.704,1.007,14911,2,14.5,34.9,57.7,9.5,79.0,0.6,6.4,1.4,40.3,1,,
54,Turkey,0.820,77.7,16.6,8.1,27701,-4,54,1.18,0.808,16.5,0.611,24.1,0.645,0.924,17854,17,26.6,17.4,34.0,83.4,75.6,6.7,55.9,7.3,31.5,1,,
55,Uruguay,0.817,77.9,16.8,8.9,20064,9,56,0.56,0.821,6.5,0.715,23.4,0.614,1.016,15445,17,58.7,20.9,55.6,3.5,95.4,0.2,2.2,0.5,35.8,1,,
56,Bulgaria,0.816,75.1,14.4,11.4,23325,2,55,0.49,0.795,6.1,0.732,21.8,0.644,0.995,18453,10,39.9,25.8,49.2,7.0,75.3,0.3,4.5,1.5,44.6,1,,
57,Panama,0.815,78.5,12.9,10.2,29558,-10,58,0.65,0.792,11.4,0.620,36.9,0.542,1.019,24050,52,81.8,21.1,53.4,4.2,68.1,0.4,2.8,0.4,29.7,1,,
58,Bahamas,0.814,73.9,12.9,11.4,33747,-17,58,..,0.773,6.3,0.693,..,..,..,27560,70,30.0,21.8,68.1,0.4,83.1,0.0,0.3,0.0,32.3,1,,
58,Barbados,0.814,79.2,15.4,10.6,14936,20,60,0.37,0.831,5.5,0.739,33.6,0.502,1.008,12656,27,33.6,29.4,61.7,0.3,31.2,0.0,0.2,0.0,40.5,1,,
60,Oman,0.813,77.9,14.2,9.7,25944,-5,56,..,0.831,11.9,0.633,20.1,0.671,0.936,7959,19,13.1,9.9,31.0,5.0,85.4,0.5,3.7,0.1,30.6,1,,
61,Georgia,0.812,73.8,15.3,13.1,14429,22,63,..,0.762,4.1,0.826,22.5,0.582,0.980,9475,25,46.4,14.8,57.4,4.0,59.0,0.3,2.6,0.6,38.3,1,,
