Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
114,South Africa,0.709,64.1,13.8,10.2,12129,-14,115,0.42,0.549,17.3,0.599,57.0,0.312,0.986,9248,119,67.9,45.3,49.6,58.6,66.9,5.8,38.4,3.2,27.6,2,,
115,"Palestine, State of",0.708,74.1,13.4,9.2,6417,12,114,..,0.732,11.6,0.599,16.6,0.524,0.870,2045,27,52.8,..,17.7,5.0,76.4,0.7,2.9,0.2,20.8,2,,
116,Egypt,0.707,72.0,13.3,7.4,11466,-14,117,0.88,0.707,38.1,0.383,36.5,0.455,0.882,4753,37,53.8,14.9,21.9,100.4,42.7,12.8,61.1,5.3,24.6,2,,
117,Marshall Islands,0.704,74.1,12.4,10.9,5039,21,116,..,..,4.3,0.677,..,..,..,..,..,..,6.1,..,0.1,77.4,..,..,..,..,2,,
117,Viet Nam,0.704,75.4,12.7,8.3,7433,3,118,1.31,0.742,17.6,0.519,19.1,0.526,0.997,6644,43,30.9,26.7,72.7,96.5,36.6,7.9,66.8,7.3,32.5,2,,
119,Gabon,0.703,66.5,13.0,8.7,13930,-30,119,0.47,0.552,23.5,0.498,21.2,0.588,0.916,9925,252,96.2,17.9,43.5,2.2,89.7,0.3,1.3,0.1,22.5,2,,
120,Kyrgyzstan,0.697,71.5,13.0,11.1,4864,23,120,0.29,0.702,3.4,0.706,13.8,0.506,0.957,2971,60,32.8,19.2,44.8,6.4,36.6,0.8,4.0,0.3,26.0,3,,
121,Morocco,0.686,76.7,13.7,5.6,7368,1,121,1.41,0.759,..,..,..,..,0.835,2975,70,31.0,18.4,21.5,36.5,63.0,3.4,24.0,2.7,29.5,3,,
122,Guyana,0.682,69.9,11.4,8.5,9455,-10,121,0.76,0.622,10.7,0.536,25.1,0.515,0.961,5359,169,74.4,31.9,43.9,0.8,26.7,0.1,0.5,0.1,26.7,3,,
123,Iraq,0.674,70.6,11.3,7.3,10801,-16,123,0.64,0.655,29.7,0.392,12.7,0.618,0.774,2427,79,71.7,25.2,11.6,39.3,70.7,5.4,23.0,1.3,21.0,3,,
124,El Salvador,0.673,73.3,11.7,6.9,8359,-6,124,0.79,0.718,29.1,0.393,21.8,0.523,0.975,6471,46,69.5,31.0,45.3,6.5,72.7,0.6,4.2,0.5,27.6,3,,
125,Tajikistan,0.668,71.1,11.7,10.7,3954,25,126,0.27,0.655,6.0,0.641,14.5,0.475,0.823,1440,17,57.1,20.0,31.3,9.3,27.3,1.3,5.6,0.3,22.4,3,,
126,Cabo Verde,0.665,73.0,12.7,6.3,7019,-1,125,..,0.716,23.7,0.429,..,..,0.974,5453,58,73.8,23.6,53.3,0.5,66.2,0.1,0.4,0.0,27.6,3,,
127,Guatemala,0.663,74.3,10.8,6.6,8494,-10,128,1.11,0.713,30.8,0.359,35.4,0.433,0.941,5451,95,70.9,19.4,39.9,17.6,51.4,2.1,10.8,0.9,22.9,3,,
128,Nicaragua,0.660,74.5,12.3,6.9,5284,6,127,0.98,0.728,25.7,0.425,30.7,0.415,1.012,4656,98,85.0,44.6,49.7,6.5,58.8,0.7,4.2,0.4,26.5,3,,
129,Bhutan,0.654,71.8,13.0,4.1,10746,-21,131,..,0.660,41.7,0.289,20.0,0.565,0.921,8117,183,20.2,15.3,58.9,0.8,41.6,0.1,0.5,0.0,28.1,3,,
130,Namibia,0.646,63.7,12.6,7.0,9357,-17,129,0.37,0.524,25.0,0.438,53.6,0.318,1.007,8482,195,63.6,37.0,56.1,2.5,51.0,0.3,1.5,0.1,21.8,3,,
131,India,0.645,69.7,12.2,6.5,6681,-5,130,1.42,0.613,38.7,0.340,18.8,0.515,0.820,2331,133,13.2,13.5,20.5,"1,366.4",34.5,116.8,915.6,87.1,28.4,3,,
132,Honduras,0.634,75.3,10.1,6.6,5308,1,132,0.69,0.737,23.3,0.382,37.8,0.373,0.978,4173,65,72.9,21.1,52.0,9.7,57.7,1.0,6.2,0.5,24.3,3,,
133,Bangladesh,0.632,72.6,11.6,6.2,4976,7,134,1.64,0.669,37.3,0.332,16.6,0.492,0.904,2873,173,83.0,20.6,36.3,163.0,37.4,14.4,110.2,8.4,27.6,3,,
134,Kiribati,0.630,68.4,11.8,8.0,4260,12,133,..,0.560,9.6,0.537,19.4,0.457,..,..,92,16.2,6.5,..,0.1,54.8,0.0,0.1,0.0,23.0,3,,
135,Sao Tome and Principe,0.625,70.4,12.7,6.4,3952,16,135,1.12,0.643,18.3,0.463,14.9,0.473,0.906,2462,130,94.6,14.5,41.4,0.2,73.6,0.0,0.1,0.0,18.6,3,,
136,Micronesia (Federated States of),0.620,67.9,11.5,7.8,3983,13,136,..,0.618,..,..,26.4,0.410,..,..,88,13.9,0.0,..,0.1,22.8,0.0,0.1,0.0,24.4,3,,
137,Lao People's Democratic Republic,0.613,67.9,11.0,5.3,7413,-16,137,1.44,0.571,31.3,0.331,20.3,0.518,0.927,5801,185,65.4,27.5,76.7,7.2,35.6,0.8,4.6,0.3,24.4,3,,
138,Eswatini (Kingdom of),0.611,60.2,11.8,6.9,7919,-19,139,0.42,0.463,24.1,0.423,37.9,0.410,0.996,7011,437,76.7,12.1,48.5,1.1,24.0,0.1,0.7,0.0,20.7,3,,
138,Ghana,0.611,64.1,11.5,7.3,5269,-3,138,0.95,0.514,35.1,0.365,24.1,0.454,0.911,4073,308,66.6,13.1,63.6,30.4,56.7,4.1,18.1,0.9,21.5,3,,
140,Vanuatu,0.609,70.5,11.7,7.1,3105,20,140,..,0.665,..,..,19.7,0.417,..,2406,72,49.4,0.0,61.0,0.3,25.4,0.0,0.2,0.0,21.1,3,,
141,Timor-Leste,0.606,69.5,12.6,4.8,4440,3,141,..,0.596,44.9,0.281,13.6,0.495,0.942,4486,142,33.8,38.5,61.9,1.3,30.9,0.2,0.8,0.1,20.8,3,,
142,Nepal,0.602,70.8,12.8,5.0,3457,13,143,1.54,0.645,40.9,0.308,16.3,0.448,0.933,2910,186,65.1,33.5,82.8,28.6,20.2,2.7,18.5,1.7,24.6,3,,
143,Kenya,0.601,66.7,11.3,6.6,4244,5,141,0.76,0.557,22.9,0.412,33.1,0.379,0.937,3666,342,75.1,23.3,72.1,52.6,27.5,7.0,30.7,1.3,20.1,3,,
144,Cambodia,0.594,69.8,11.5,5.0,4246,3,144,1.66,0.628,27.3,0.352,14.3,0.485,0.922,3697,160,50.2,19.3,76.3,16.5,23.8,1.8,10.6,0.8,25.6,3,,
145,Equatorial Guinea,0.592,58.7,9.7,5.9,13944,-57,145,..,0.390,..,..,..,..,..,9949,301,155.6,19.2,54.8,1.4,72.6,0.2,0.8,0.0,22.3,3,,
146,Zambia,0.584,63.9,11.5,7.2,3326,10,145,1.13,0.496,20.4,0.443,44.8,0.292,0.958,3380,213,120.1,18.0,70.4,17.9,44.1,2.9,9.5,0.4,17.6,3,,
147,Myanmar,0.583,67.1,10.7,5.0,4961,-6,148,1.86,0.560,26.9,0.339,..,..,0.954,3174,250,28.5,11.6,47.5,54.0,30.9,4.5,36.8,3.2,29.0,3,,
148,Angola,0.581,61.2,11.8,5.2,6104,-17,145,..,0.430,34.3,0.328,28.9,0.442,0.903,5205,241,150.5,30.0,76.1,31.8,66.2,5.7,16.3,0.7,16.7,3,,
149,Congo,0.574,64.6,11.7,6.5,2879,13,149,0.48,0.529,20.9,0.429,31.0,0.350,0.929,2500,378,112.2,13.6,67.5,5.4,67.4,0.8,3.0,0.1,19.2,3,,
150,Zimbabwe,0.571,61.5,11.0,8.5,2666,14,150,0.61,0.484,14.6,0.501,28.8,0.353,0.931,2375,458,86.1,34.6,78.1,14.6,32.2,2.1,8.0,0.4,18.7,3,,
151,Solomon Islands,0.567,73.0,10.2,5.7,2253,17,151,..,0.717,..,..,19.4,0.379,..,1974,104,78.0,4.1,82.1,0.7,24.2,0.1,0.4,0.0,19.9,3,,
151,Syrian Arab Republic,0.567,72.7,8.9,5.1,3613,2,152,0.11,0.705,..,..,..,..,0.829,989,31,38.6,13.2,14.4,17.1,54.8,1.8,11.0,0.8,25.6,3,,
153,Cameroon,0.563,59.3,12.1,6.3,3581,1,153,0.79,0.402,31.7,0.373,35.0,0.351,0.864,2973,529,105.8,29.3,71.1,25.9,57.0,4.1,14.2,0.7,18.7,3,,
154,Pakistan,0.557,67.3,8.3,5.2,5005,-15,154,1.13,0.510,43.5,0.227,17.2,0.489,0.745,1393,140,38.8,20.0,21.9,216.6,36.9,27.7,131.3,9.4,22.8,3,,
155,Papua New Guinea,0.555,64.5,10.2,4.7,4301,-10,156,1.31,0.520,35.7,0.282,28.9,0.404,..,3767,145,52.7,0.0,46.3,8.8,13.2,1.1,5.4,0.3,22.4,3,,
156,Comoros,0.554,64.3,11.2,5.1,3099,5,154,..,0.485,47.6,0.252,56.0,0.228,0.891,2300,273,65.4,6.1,36.6,0.9,29.2,0.1,0.5,0.0,20.4,3,,
157,Mauritania,0.546,64.9,8.6,4.7,5135,-21,157,1.10,0.484,40.8,0.234,24.6,0.449,0.864,2782,766,71.0,20.3,28.9,4.5,54.5,0.7,2.6,0.1,20.1,4,,
158,Benin,0.545,61.8,12.6,3.8,3254,0,158,1.40,0.418,43.7,0.269,32.0,0.358,0.855,2837,397,86.1,7.2,68.8,11.8,47.9,1.9,6.4,0.4,18.8,4,,
159,Uganda,0.544,63.4,11.4,6.2,2123,15,160,1.85,0.486,27.9,0.377,24.9,0.346,0.863,1591,375,118.8,34.9,67.0,44.3,24.4,7.7,22.8,0.9,16.7,4,,
160,Rwanda,0.543,69.0,11.2,4.4,2155,12,159,2.74,0.607,29.3,0.324,36.4,0.295,0.945,1876,248,39.1,55.7,83.9,12.6,17.3,1.8,7.2,0.4,20.0,4,,
161,Nigeria,0.539,54.7,10.0,6.7,4910,-19,161,..,0.336,40.4,0.297,28.1,0.423,0.881,4107,917,107.3,4.1,47.9,201.0,51.2,33.4,107.7,5.5,18.1,4,,
162,Côte d'Ivoire,0.538,57.8,10.0,5.3,5069,-25,161,0.99,0.388,45.6,0.246,27.0,0.433,0.811,2561,617,117.6,13.3,48.2,25.7,51.2,4.1,14.3,0.7,18.9,4,,
163,Tanzania (United Republic of),0.529,65.5,8.1,6.1,2600,2,164,1.26,0.522,27.0,0.313,22.4,0.382,0.948,2222,524,118.4,36.9,79.6,58.0,34.5,9.5,31.1,1.5,18.0,4,,
164,Madagascar,0.528,67.0,10.2,6.1,1596,16,163,..,0.571,29.3,0.343,27.6,0.303,0.952,1273,335,109.6,16.9,83.4,27.0,37.9,4.0,15.3,0.8,19.6,4,,
165,Lesotho,0.527,54.3,11.3,6.5,3151,-6,165,0.20,0.353,19.6,0.428,29.6,0.367,1.014,2471,544,92.7,23.0,60.2,2.1,28.6,0.3,1.3,0.1,24.0,4,,
166,Djibouti,0.524,67.1,6.8,4.1,5689,-34,166,..,0.555,..,..,27.7,0.441,..,4151,248,18.8,26.2,50.7,1.0,77.9,0.1,0.6,0.0,26.6,4,,
167,Togo,0.515,61.0,12.7,4.9,1602,12,168,0.82,0.439,37.7,0.322,26.9,0.307,0.822,1220,396,89.1,16.5,76.3,8.1,42.2,1.2,4.5,0.2,19.4,4,,
168,Senegal,0.512,67.9,8.6,3.2,3309,-11,167,1.07,0.581,46.4,0.185,25.9,0.392,0.870,2271,315,72.7,41.8,35.0,16.3,47.7,2.6,8.8,0.5,18.5,4,,
169,Afghanistan,0.511,64.8,10.2,3.9,2229,0,169,1.83,0.495,45.4,0.226,..,..,0.659,819,638,69.0,27.2,21.6,38.0,25.8,5.6,20.9,1.0,18.4,4,,
170,Haiti,0.510,64.0,9.7,5.6,1709,7,170,0.72,0.459,37.3,0.286,50.4,0.212,0.875,1410,480,51.7,2.7,61.9,11.3,56.2,1.3,7.0,0.6,24.0,4,,
170,Sudan,0.510,65.3,7.9,3.8,3829,-18,171,1.50,0.506,42.5,0.198,33.0,0.369,0.860,1981,295,64.0,27.5,29.1,42.8,34.9,6.2,24.1,1.6,19.7,4,,
172,Gambia,0.496,62.1,9.9,3.9,2168,-1,172,1.22,0.463,47.7,0.213,17.5,0.384,0.846,1145,597,78.2,10.3,51.2,2.3,61.9,0.4,1.3,0.1,17.8,4,,
173,Ethiopia,0.485,66.6,8.8,2.9,2207,-3,174,..,0.538,43.5,0.193,13.4,0.405,0.837,1642,401,66.7,37.3,73.4,112.1,21.2,16.6,62.9,3.9,19.5,4,,
174,Malawi,0.483,64.3,11.2,4.7,1035,13,174,1.29,0.510,28.4,0.336,32.4,0.239,0.986,838,349,132.7,22.9,72.6,18.6,17.2,2.9,10.0,0.5,18.1,4,,
175,Congo (Democratic Republic of the),0.480,60.7,9.7,6.8,1063,11,174,0.91,0.400,26.8,0.363,27.6,0.258,0.845,907,473,124.2,12.0,60.7,86.8,45.0,15.5,44.2,2.6,17.0,4,,
175,Guinea-Bissau,0.480,58.3,10.6,3.6,1996,1,178,..,0.399,41.9,0.240,37.9,0.281,..,1647,667,104.8,13.7,65.8,1.9,43.8,0.3,1.1,0.1,18.8,4,,
175,Liberia,0.480,64.1,9.6,4.8,1258,8,173,..,0.476,42.9,0.243,22.7,0.296,0.890,1242,661,136.0,11.7,72.1,4.9,51.6,0.7,2.8,0.2,19.4,4,,
178,Guinea,0.477,61.6,9.4,2.8,2405,-12,177,1.83,0.440,50.1,0.176,17.8,0.395,0.817,2266,576,135.3,22.8,62.7,12.8,36.5,2.1,6.8,0.4,18.0,4,,
179,Yemen,0.470,66.1,8.8,3.2,1594,2,179,0.55,0.534,46.1,0.189,21.8,0.327,0.488,186,164,60.4,1.0,5.8,29.2,37.3,4.1,16.9,0.8,20.2,4,,
180,Eritrea,0.459,66.3,5.0,3.9,2793,-17,180,..,0.560,..,..,..,..,..,2275,480,52.6,22.0,71.5,3.5,40.7,0.5,1.9,0.2,19.2,4,,
181,Mozambique,0.456,60.9,10.0,3.5,1250,3,181,2.43,0.441,33.8,0.262,28.4,0.273,0.912,1131,289,148.6,41.2,77.3,30.4,36.5,5.0,16.0,0.9,17.6,4,,
182,Burkina Faso,0.452,61.6,9.3,1.6,2133,-9,183,..,0.435,39.2,0.190,17.3,0.382,0.867,1541,320,104.3,13.4,58.3,20.3,30.0,3.4,10.8,0.5,17.6,4,,
182,Sierra Leone,0.452,54.7,10.2,3.7,1668,-4,182,1.58,0.326,46.9,0.216,17.7,0.350,0.884,1470,"1,120",112.8,12.3,57.3,7.8,42.5,1.1,4.4,0.2,19.4,4,,
184,Mali,0.434,59.3,7.5,2.4,2269,-17,184,2.15,0.383,43.9,0.160,16.6,0.393,0.821,1516,562,169.1,9.5,61.2,19.7,43.1,3.5,9.9,0.5,16.3,4,,
185,Burundi,0.433,61.6,11.1,3.3,754,4,184,1.29,0.457,39.5,0.252,20.9,0.241,0.999,866,548,55.6,38.8,80.4,11.5,13.4,2.0,6.0,0.3,17.3,4,,
185,South Sudan,0.433,57.9,5.3,4.8,2003,-10,186,..,0.372,39.6,0.185,32.3,0.307,0.842,1759,"1,150",62.0,26.6,71.0,11.1,19.9,1.7,6.1,0.4,19.0,4,,
187,Chad,0.398,54.2,7.3,2.5,1555,-5,187,..,0.311,43.0,0.164,28.4,0.297,0.764,1244,"1,140",161.1,14.9,63.9,15.9,23.3,2.9,8.1,0.4,16.6,4,,
188,Central African Republic,0.397,53.3,7.6,4.3,993,0,188,0.60,0.307,34.5,0.231,49.2,0.176,0.801,792,829,129.1,8.6,64.4,4.7,41.8,0.7,2.5,0.1,17.6,4,,
189,Niger,0.394,62.4,6.5,2.1,1201,-4,189,2.03,0.451,35.0,0.162,16.4,0.314,0.724,536,509,186.5,17.0,60.6,23.3,16.5,4.6,11.1,0.6,15.2,4,,
